N T LP_floor IP_lower LP_upper dual_sortedness
40393 13465 40386 40391 40391.53199498 sorted
40394 13465 40388 40392 40392.64491844 sorted
40395 13465 40389 40393 40393.76035132 sorted
40396 13466 40389 40394 40394.55081556 sorted
40397 13466 40390 40395 40395.66624843 sorted
40398 13466 40392 40396 40396.78168130 sorted
40399 13467 40393 40397 40397.63989962 sorted
40400 13467 40391 40398 40398.75470514 sorted
40401 13467 40394 40399 40399.87013802 sorted
40402 13468 40394 40400 40400.81176471 sorted
40403 13468 40396 40401 40401.91764706 sorted
40404 13468 40398 40403 40403.03294118 sorted
40405 13469 40397 40403 40403.70012547 sorted
40406 13469 40400 40404 40404.81430364 sorted
40407 13469 40399 40405 40405.92973651 sorted
40408 13470 40400 40406 40406.81430364 sorted
40409 13470 40402 40407 40407.92346299 sorted
40410 13470 40401 40409 40409.03889586 sorted
40411 13471 40402 40409 40409.81555834 sorted
40412 13471 40406 40410 40410.88833124 sorted
40413 13471 40406 40412 40412.00376412 sorted
40414 13472 40406 40412 40412.83058824 sorted
40415 13472 40406 40413 40413.94588235 sorted
40416 13472 40410 40415 40415.06117647 sorted
40417 13473 40407 40415 40415.80175659 sorted
40418 13473 40409 40416 40416.90966123 sorted
40419 13473 40412 40418 40418.02509410 sorted
40420 13474 40415 40418 40418.83563363 sorted
40421 13474 40414 40419 40419.94981179 sorted
40422 13474 40415 40421 40421.06524467 sorted
40423 13475 40417 40421 40421.80928482 sorted
40424 13475 40417 40422 40422.92471769 sorted
40425 13475 40418 40424 40424.04015056 sorted
40426 13476 40418 40425 40425.15432873 sorted
40427 13476 40420 40426 40426.15432873 sorted
40428 13476 40421 40427 40427.26976161 sorted
40429 13477 40423 40427 40427.95357591 sorted
40430 13477 40421 40429 40429.06775408 sorted
40431 13477 40424 40430 40430.18318695 sorted
40432 13478 40425 40431 40431.08030113 sorted
40433 13478 40426 40432 40432.08030113 sorted
40434 13478 40425 40433 40433.19573400 sorted
40435 13479 40427 40433 40433.94604768 sorted
40436 13479 40429 40435 40435.05897114 sorted
40437 13479 40431 40436 40436.17440402 sorted
40438 13480 40431 40436 40436.97616060 sorted
40439 13480 40433 40438 40438.09159348 sorted
40440 13480 40433 40439 40439.20702635 sorted
40441 13481 40433 40440 40440.01505646 sorted
40442 13481 40434 40441 40441.13048933 sorted
40443 13481 40437 40442 40442.24592221 sorted
40444 13482 40437 40443 40443.13174404 sorted
40445 13482 40439 40444 40444.22835634 sorted
40446 13482 40439 40445 40445.34378921 sorted
40447 13483 40441 40446 40446.37390213 sorted
40448 13483 40443 40447 40447.48808030 sorted
40449 13483 40442 40448 40448.60351317 sorted
40450 13484 40443 40449 40449.08823529 sorted
40451 13484 40443 40450 40450.19294118 sorted
40452 13484 40446 40451 40451.30823529 sorted
40453 13485 40445 40452 40452.11529412 sorted
40454 13485 40449 40453 40453.22941176 sorted
40455 13485 40449 40454 40454.34470588 sorted
40456 13486 40447 40455 40455.02509410 sorted
40457 13486 40448 40456 40456.13676286 sorted
40458 13486 40449 40457 40457.25219573 sorted
