40705: [40703, 40703.9623655914]
40706: [40704, 40705.034946236556]
40707: [40705, 40706.15053763441]
40708: [40706, 40706.95698924731]
40709: [40707, 40707.95698924731]
40710: [40709, 40709.07258064516]
40711: [40709, 40710.18010752688]
40712: [40711, 40711.29301075269]
40713: [40712, 40712.408602150535]
40714: [40713, 40713.15053763441]
40715: [40714, 40714.26344086022]
40716: [40715, 40715.37903225806]
40717: [40715, 40716.432448036954]
40718: [40716, 40717.505196304846]
40719: [40718, 40718.62066974596]
40720: [40719, 40719.38978494624]
40721: [40719, 40720.5]
40722: [40721, 40721.61559139785]
40723: [40722, 40722.37365591398]
40724: [40723, 40723.44623655914]
40725: [40724, 40724.56182795699]
40726: [40724, 40725.37254025045]
40727: [40726, 40726.485688729874]
40728: [40727, 40727.60107334526]
40729: [40728, 40728.41139240506]
40730: [40729, 40729.50791139241]
40731: [40730, 40730.62341772152]
40732: [40731, 40731.51898734177]
40733: [40732, 40732.63291139241]
40734: [40733, 40733.74841772152]
40735: [40732, 40734.10772058823]
40736: [40733, 40735.223161764705]
40737: [40734, 40736.33860294118]
40738: [40736, 40737.07720588235]
40739: [40737, 40738.07720588235]
40740: [40738, 40739.19264705882]
40741: [40738, 40739.995588235295]
40742: [40741, 40741.10661764706]
40743: [40740, 40742.22205882353]
40744: [40742, 40743.037500000006]
40745: [40743, 40744.15147058824]
40746: [40745, 40745.2669117647]
40747: [40745, 40746.100000000006]
40748: [40746, 40747.214338235295]
40749: [40747, 40748.32977941177]
40750: [40748, 40749.44448529412]
40751: [40749, 40750.44448529412]
40752: [40749, 40751.55992647059]
40753: [40752, 40752.35661764706]
40754: [40753, 40753.47169117647]
40755: [40754, 40754.58713235294]
40756: [40753, 40755.136639676115]
40757: [40755, 40756.24949392713]
40758: [40756, 40757.36487854251]
40759: [40757, 40758.10981781376]
40760: [40757, 40759.2201417004]
40761: [40758, 40760.33552631579]
40762: [40759, 40761.131072874494]
40763: [40760, 40762.131072874494]
40764: [40761, 40763.24645748988]
40765: [40763, 40763.83097165992]
40766: [40764, 40764.9463562753]
40767: [40765, 40766.06174089069]
40768: [40765, 40766.668269230766]
40769: [40766, 40767.78205128205]
40770: [40768, 40768.89743589744]
40771: [40769, 40769.63562753036]
40772: [40770, 40770.70850202429]
40773: [40771, 40771.82388663967]
40774: [40772, 40772.72047908232]
40775: [40773, 40773.83485155196]
40776: [40774, 40774.95023616734]
40777: [40775, 40775.7726045884]
40778: [40776, 40776.84547908232]
40779: [40777, 40777.96086369771]
40780: [40777, 40778.70175438597]
40781: [40779, 40779.801956815114]
40782: [40780, 40780.9173414305]
40783: [40781, 40781.72908232119]
40784: [40782, 40782.83232118758]
40785: [40783, 40783.94770580297]
40786: [40783, 40784.73211875843]
40787: [40784, 40785.73211875843]
40788: [40786, 40786.84750337382]
40789: [40786, 40787.80021367522]
40790: [40787, 40788.89636752137]
40791: [40788, 40790.01175213675]
40792: [40789, 40790.89636752137]
40793: [40791, 40792.01121794872]
40794: [40791, 40793.1266025641]
40795: [40793, 40793.92611336033]
40796: [40793, 40795.04048582996]
40797: [40795, 40796.15587044534]
40798: [40796, 40796.92813765182]
40799: [40797, 40798.034412955465]
40800: [40798, 40799.14979757085]
40801: [40799, 40799.993131868134]
40802: [40800, 40801.103708791205]
40803: [40801, 40802.219093406595]
40804: [40802, 40802.98279352227]
40805: [40802, 40804.07894736842]
40806: [40804, 40805.1943319838]
40807: [40804, 40806.01720647773]
40808: [40806, 40807.12044534413]
40809: [40808, 40808.235829959514]
40810: [40808, 40808.980769230766]
40811: [40809, 40810.091093117415]
40812: [40810, 40811.20647773279]
40813: [40811, 40811.820175438595]
40814: [40812, 40812.89304993252]
40815: [40813, 40814.00843454791]
40816: [40814, 40814.79284750338]
40817: [40815, 40815.90823211876]
40818: [40817, 40817.02361673414]
40819: [40817, 40817.768556005394]
40820: [40818, 40818.883940620784]
40821: [40819, 40819.99932523617]
40822: [40820, 40820.771592442645]
40823: [40821, 40821.771592442645]
40824: [40822, 40822.886977058035]
